rid,uid,role,feature,benefit,novelty_avg
2716,432,home occupant,my TV to automatically play my favorite show/news channel when I get home from work. ,I don't have to waste time pressing buttons with my remote. ,Entertainment,1.6667
2717,440,home occupant,a doorbell that video records who is outside of my house ,i can see who is outside before answering the door or when i am not home ,Safety,3.0000
2718,436,home owner,"a touch-screen, voice-activated smart monitor","I can watch videos, television or do other things right when I need to.",Entertainment,3.5000
2719,426,home occupant,my smart home to tell me if clothes are finished washing or drying. ,I can take them out or transfer them. ,Other,5.0000
2720,432,home occupant,my shower to automatically adjust the temperature. ,I don't have to change the knob to my desired temperature. ,Health,4.0000
2721,440,home occupant,an automatic sprinkler ,when it has not rained in awhile the grass will stay green and watered,Energy,1.5000
2722,440,parent,an alert on my phone when my child leaves the house ,i can know when my child is leaving ,Safety,4.3333
2723,438,movie buff,my smart home to alert me to the new releases on Netflix which I add to a watch list each month,I can catch the movies I've been waiting for,Entertainment,5.0000
2724,432,home occupant,a cat house that automates feeding and give me updates through an app on my phone with webcam monitoring.,I don't have to pay for a cat babysitter whenever I go on vacation. ,Other,3.3333
2725,440,home occupant,automatic lights ,i do not have to turn on the lights at night ,Energy,1.3333
2726,439,home occupant,automatic doors,they require a finger print or voice command to open,Safety,3.6667
2727,432,home occupant,my faucets to have automatic water filtration built in. ,all the water that I utilize is fresh and free from pollutants. ,Health,3.0000
2728,440,pet owner,a litterbox that alerts my phone when my cat has used it ,i can clean it right away ,Health,4.0000
2729,426,home occupant,my smart home to define words for me if I ask it to. ,it is faster and easier to do. ,Other,4.0000
2730,436,home owner,a smart gaming computer,when I play resource-intensive games the computer adjusts itself to run them at maximum efficiency automatically.,Entertainment,3.6667
2731,432,home occupant,a robot that can prepare meals for me. ,I don't have to waste time cooking. ,Other,4.0000
2732,438,home owner,my smart home to adjust the water temperature in the shower by my input into my smart phone,take comfortable showers ,Health,3.6667
2733,440,home occupant,a radio that i can talk to to play specific artists ,i do not have to use my smartphone to do this ,Entertainment,3.3333
2735,432,home occupant,my fridge to tell me whenever food is about to be spoiled with cameras that detect expiration date. ,I can keep a safe and clean refrigerator at all times. ,Health,4.3333
2736,436,home owner,smart doors,when I come home from shopping they sense my presence and open automatically.,Safety,4.3333
2737,440,home occupant,automatic locking doors at night,i do not forget to lock the doors ,Safety,3.3333
2738,439,home occupant,sensors throughout the house,I can input what I want to find and the sensors can track it for me,Other,2.0000
2739,440,home occupant,a smart vacuum ,i do not have to clean ,Health,1.6667
2740,432,home occupant,a machine that has wash/dry cycle in the same machine. ,I don't have to take out my clothes to put from the washer to the dryer. ,Other,2.5000
2741,436,home owner,a smart bathroom,"it cleans itself automatically when a pre-determined level of ""dirtiness"" is reached.",Other,3.6667
2742,438,car owner,my smart home to start my car for me on cold mornings ,the heat is ready to go when I get in the car to drive,Other,3.5000
2743,430,cat parent,Directional cat flap motion sensors,I can tell when my cat has gone inside or outside of the house,Safety,4.0000
2744,440,home occupant,a smart thermostat ,the temperature can automatically be adjusted to save energy ,Energy,3.0000
2745,442,home occupant,smart shades,they will control the amount of light coming in.,Energy,3.0000
2746,439,home occupant,air purifier ,the air is always clean ,Health,3.0000
2747,441,home occupant,the heater/AC to turn off when I leave and turn back on when I unlock the front door,so that I can save energy.,Energy,3.5000
2748,442,home occupant,"watcher sensitive television,",it will know who is watching and adjust suggested programs and commercials shown accordingly,Entertainment,4.0000
2749,440,home occupant,smart refrigerator ,it would tell what food would need to be replaced ,Health,4.0000
2750,441,parent,an alarm to go off if my children's windows open,I can ensure that they are safe.,Safety,4.3333
2751,439,home occupant,a smart tv that can recognize it's viewer's face,it will automatically go to a favorite selected channel for the main viewer watching,Entertainment,3.3333
2752,438,home owner,my smart home to keep a running weekly calendar which gives me task reminders I put in at the start of each week,I never forget a thing,Other,4.0000
2753,441,home occupant,my doors to unlock to police or firefighters,we can be accessed in case of an emergency,Safety,4.3333
2754,439,home occupant,outdoor sensors,when an intruder or passersby go by it will automatically light up,Safety,2.0000
2755,442,home occupant,"smar lighting system,",the mood will adjust based on the time of day and occupant's positions.,Energy,3.3333
2756,441,home occupant,my garage door to open when my car pulls into the driveway,I don't need to keep track of a garage door opener,Other,2.7500
2757,439,home occupant,sensors activated at night by the doors and windows,if an intruder breaks in when everyone is sleeping or gone an alarm will sound the police will be called to the house,Safety,2.3333
2758,438,home owner,my smart home to monitor for mold and other airborne issues,I can be alerted when the air in the home is unsafe,Health,4.6667
2759,442,home occupant,"temperature sensing oven,",the temperature of the food will be displayed.,Health,3.5000
2760,430,cat parent,Kitchen counter top motion alarms,A clapping sound will go off to inform my cat he is to get off of the counter immediately.  This will also alert me that he is being naughty again.,Health,4.3333
2761,441,home occupant,the lights in my room to slowly come on when it is time to wake up,I can be woken ambiently,Health,3.0000
2762,439,home occupant,lights and other electronics to be shut off after no movement for 30 minutes,it will save electricity and prevent possible electrical bursts,Energy,3.0000
